Date,Today_Open,Min_Date,Min_Close,Max_Date,Max_Close
29-Nov-2010,1805.1,09-Dec-2009,1077.0,26-Nov-2010,1787.15
30-Nov-2010,1798.0,09-Dec-2009,1077.0,29-Nov-2010,1796.85
01-Dec-2010,1788.0,09-Dec-2009,1077.0,29-Nov-2010,1796.85
02-Dec-2010,1785.0,09-Dec-2009,1077.0,29-Nov-2010,1796.85
03-Dec-2010,1796.0,09-Dec-2009,1077.0,29-Nov-2010,1796.85
06-Dec-2010,1835.0,09-Dec-2009,1077.0,03-Dec-2010,1827.95
07-Dec-2010,1826.0,09-Dec-2009,1077.0,03-Dec-2010,1827.95
08-Dec-2010,1840.0,09-Dec-2009,1077.0,07-Dec-2010,1830.1
09-Dec-2010,1853.0,09-Dec-2009,1077.0,08-Dec-2010,1842.35
10-Dec-2010,1813.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
13-Dec-2010,1801.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
14-Dec-2010,1822.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
15-Dec-2010,1825.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
16-Dec-2010,1802.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
20-Dec-2010,1778.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
21-Dec-2010,1710.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
22-Dec-2010,1633.95,10-Feb-2010,1083.4,08-Dec-2010,1842.35
23-Dec-2010,1680.05,10-Feb-2010,1083.4,08-Dec-2010,1842.35
24-Dec-2010,1685.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
27-Dec-2010,1676.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
28-Dec-2010,1686.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
29-Dec-2010,1681.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
30-Dec-2010,1690.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
31-Dec-2010,1685.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
03-Jan-2011,1671.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
04-Jan-2011,1672.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
05-Jan-2011,1696.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
06-Jan-2011,1722.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
07-Jan-2011,1714.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
10-Jan-2011,1670.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
11-Jan-2011,1665.0,10-Feb-2010,1083.4,08-Dec-2010,1842.35
